source_group,relative_path,size_bytes,sha256,public_git_action,public_release_action,reconstruction_or_verification
installed_pull,data_app_package/base.apk,5773496,536167CA265983CC60E783287CEFD45D88D3A16ED50542C46E79ACF6C9978EF7,fingerprint_only,do_not_upload_public_release,Export from collaborator-owned installed app and verify with reference-inputs.sha256.csv
installed_pull,data_app_package/split_config.arm64_v8a.apk,83710748,89ACC81D02FF63697603FCE2E5F4281850C092FA833FD8CF3E636B44AB624E24,fingerprint_only,do_not_upload_public_release,Export from collaborator-owned installed app and verify with reference-inputs.sha256.csv
installed_pull,data_app_package/split_InstallTimePack.apk,742410022,2BDBDBD93B4AAD16350B627B0DC05D85BB7BB5A768AD09351F13F8E2F005BA4C,fingerprint_only,do_not_upload_public_release,Export from collaborator-owned installed app and verify with reference-inputs.sha256.csv
installed_pull,sdcard_Android_data/files/main.9.com.universal777.magireco.obb,3411813224,E16628C6E54107062F92BF735B89BF573D8D067FC032EB827BD2D625B3AAF1DC,fingerprint_only,do_not_upload_public_release,Download with magireco_slot_auto_downloader.py when endpoint remains available or export from local install
installed_pull,sdcard_Android_data/files/patch.9.com.universal777.magireco.obb,2746538910,E4380D93B5B50291EF9FCE2F601A0F15020CC02775DB109704E39DA7A3F6E2EC,fingerprint_only,do_not_upload_public_release,Download with magireco_slot_auto_downloader.py when endpoint remains available or export from local install
installed_pull,data_user_0/files/assetpacks/OnDemandPack01/31/31/assets/smz.bin,152226304,AFBA721F0677DB90945711484D807C224250EDFA7E2945C4D1049B36777B501C,fingerprint_only,do_not_upload_public_release,Export from collaborator-owned installed app and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_lib/lib/arm64-v8a/libGameProc.so,79683640,5A0AE3CE7F25B89A3B9A13D11BF36AAA1DE04FACEB612357FA04F42426F17EBF,fingerprint_only,do_not_upload_public_release,Extract from split_config.arm64_v8a.apk and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_assets/assets/dgi.bin,230894384,4D5FD52F6DD61D33B5A0EC6576BC9841089AE8B91BCAB262C0E9B3E1E17F487E,fingerprint_only,do_not_upload_public_release,Extract from local package/OBB inputs and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_assets/assets/ogg.bin,383245552,AC90352AAB6A465D4BC3D0F78C476EF185F9934FCDE4989E80A10DF2EE16BD64,fingerprint_only,do_not_upload_public_release,Extract from local package/OBB inputs and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_assets/assets/gdb.bin,22151972,641C1B98353BF01365394F25E8B038A22B5F479AED0B536C88CC79AA0C9349D1,fingerprint_only,do_not_upload_public_release,Extract from local package/OBB inputs and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_assets/assets/z2d.bin,13651768,146BC4016362A3924FFF921DCF4662F282368A9FD8DD554C2343B4F67031E94C,fingerprint_only,do_not_upload_public_release,Extract from local package/OBB inputs and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_assets/assets/zg_snd_request_tbl.bin,1824124,0CDDEBFD9AF8DF233F221D8D42E92839ED46899C7307007C8B0E72044C827513,fingerprint_only,do_not_upload_public_release,Extract from local package/OBB inputs and verify with reference-inputs.sha256.csv
unpacked_project,unpacked_assets/assets/zg_snd_hashreq_tbl.bin,166784,95AEB82629A4624CA8798F5CF79A416D2422AADC3ACE345DE18148ADF6D000FD,fingerprint_only,do_not_upload_public_release,Extract from local package/OBB inputs and verify with reference-inputs.sha256.csv
derived_evidence,analysis-evidence-v18.*.zip,varies,see reproducibility/releases/*.json,release_metadata_in_git,upload_public_release,Generated by reproducibility/scripts/New-AnalysisEvidenceBundle.ps1 from text-only CSV/JSON/MD/TXT/SRT evidence
rendered_outputs,validation_outputs_v18_* and magireco_verified_series_v18_*,varies,per-output render_manifest.json and QA CSV,do_not_commit,do_not_upload_public_release_until_final_review,Keep local on A/C/D drives; only promote final selected audience videos through the chosen video publishing workflow
